,tipo,barrio,sup,pricem2,habs
22025,apartment,Villa Luro,160.0,1750.0,3.0
22026,apartment,Balvanera,120.0,1500.0,4.0
22027,apartment,Flores,52.0,2028.85,3.0
22028,PH,Palermo,189.0,2222.22,4.0
22029,apartment,Flores,52.0,2057.69,3.0
22030,apartment,Flores,52.0,2144.23,3.0
22031,apartment,Recoleta,43.0,2441.86,2.0
22032,apartment,Flores,51.0,2147.06,3.0
22033,apartment,Palermo,67.0,4104.48,2.0
22034,apartment,Flores,51.0,2176.47,3.0
22035,apartment,Villa Crespo,64.0,2718.75,2.0
22036,apartment,Chacarita,74.0,1989.45,3.0
22037,apartment,Palermo,37.0,3405.41,1.0
22038,apartment,Chacarita,74.0,2046.3,3.0
22039,apartment,Chacarita,74.0,2084.19,3.0
22040,apartment,Colegiales,49.0,146.5,2.0
22041,apartment,Belgrano,35.0,3142.86,1.0
22042,apartment,Colegiales,38.0,2631.58,2.0
22043,apartment,Villa del Parque,67.0,2544.78,3.0
22044,apartment,Caballito,90.0,2022.22,4.0
22045,apartment,Villa del Parque,74.0,2581.08,3.0
22046,apartment,Villa Urquiza,50.0,2690.0,3.0
22047,apartment,Palermo,45.0,2622.22,2.0
22048,apartment,Villa del Parque,76.0,2473.68,3.0
22049,apartment,Belgrano,59.0,2694.92,2.0
22050,apartment,Villa del Parque,74.0,2587.84,3.0
22051,apartment,Belgrano,59.0,2864.41,2.0
22052,apartment,Villa del Parque,76.0,2572.37,3.0
22053,apartment,Villa del Parque,67.0,2544.78,3.0
22054,apartment,Caballito,140.0,1892.86,4.0
22055,apartment,Caballito,119.0,2731.09,4.0
22056,apartment,Caballito,140.0,1892.86,4.0
22057,apartment,Villa del Parque,66.0,2675.76,3.0
22058,apartment,Villa Urquiza,59.0,2864.41,2.0
22059,apartment,Villa del Parque,67.0,2611.94,3.0
22060,house,Villa Urquiza,405.0,802.47,7.0
22061,apartment,Villa Urquiza,59.0,2694.92,2.0
22062,apartment,Villa del Parque,67.0,2649.25,3.0
22063,apartment,Monserrat,60.0,1583.33,3.0
22064,apartment,Villa del Parque,67.0,2671.64,3.0
22065,apartment,Villa Devoto,44.0,2000.0,2.0
22066,apartment,Palermo,75.0,5000.0,2.0
22067,apartment,Villa del Parque,67.0,2671.64,3.0
22069,apartment,Villa del Parque,67.0,2694.03,3.0
22070,apartment,Palermo,75.0,5000.0,2.0
22071,apartment,Villa del Parque,67.0,2694.03,3.0
22072,apartment,Villa Devoto,44.0,1997.73,2.0
22073,apartment,Villa del Parque,67.0,2747.76,3.0
22074,apartment,Recoleta,120.0,2083.33,3.0
22075,apartment,Belgrano,76.0,2296.05,4.0
22076,apartment,Villa del Parque,67.0,2747.76,3.0
22077,apartment,Monserrat,60.0,1575.0,3.0
22078,apartment,Belgrano,78.0,2910.26,3.0
22079,apartment,Villa del Parque,67.0,2783.58,3.0
22080,apartment,Boedo,22.0,2227.27,1.0
22081,apartment,Villa del Parque,67.0,2783.58,3.0
22082,apartment,Almagro,49.0,1734.69,2.0
22083,apartment,Villa del Parque,75.0,1933.33,4.0
22084,apartment,Villa Luro,76.0,1776.32,2.0
22085,apartment,Villa del Parque,67.0,2811.94,3.0
22086,apartment,Paternal,75.0,1933.33,4.0
22087,apartment,Villa del Parque,67.0,2811.94,3.0
22088,apartment,Caballito,75.0,1933.33,4.0
22089,apartment,Villa Luro,78.0,1282.05,2.0
22090,apartment,Villa Luro,60.0,2083.33,2.0
22091,apartment,Flores,75.0,1933.33,4.0
22092,apartment,Villa del Parque,67.0,2850.75,3.0
22093,apartment,Villa Luro,47.0,2446.81,2.0
22094,apartment,Villa del Parque,67.0,2850.75,3.0
22095,apartment,Villa Luro,56.0,2232.14,2.0
22096,apartment,Villa del Parque,74.0,2547.3,3.0
22097,apartment,Villa Luro,180.0,1527.78,3.0
22098,apartment,Belgrano,75.0,2493.33,3.0
22099,apartment,Villa del Parque,73.0,2654.11,3.0
22100,apartment,Villa Luro,195.0,1410.26,3.0
22101,apartment,Belgrano,41.0,2804.88,1.0
22103,apartment,Villa del Parque,65.0,2792.31,3.0
22105,apartment,Coghlan,60.0,2666.67,3.0
22106,apartment,Villa del Parque,66.0,2757.58,3.0
22107,PH,Mataderos,80.0,1375.0,3.0
22108,apartment,Belgrano,62.0,2580.65,3.0
22109,apartment,Villa del Parque,65.0,2863.85,3.0
22111,house,Villa Lugano,300.0,1283.33,3.0
22112,apartment,Tribunales,65.0,2738.46,3.0
22113,apartment,Villa del Parque,66.0,2812.12,3.0
22114,apartment,Palermo,29.0,2551.72,1.0
22115,house,Mataderos,134.0,1380.6,3.0
22116,apartment,Villa del Parque,65.0,2935.38,3.0
22117,apartment,Villa del Parque,66.0,2884.85,3.0
22118,apartment,Belgrano,39.0,2294.87,2.0
22119,apartment,Villa del Parque,65.0,3007.69,3.0
22120,apartment,Mataderos,45.0,1888.89,2.0
22121,house,Mataderos,240.0,1041.67,5.0
22122,house,Barracas,260.0,711.54,5.0
22123,apartment,Villa Urquiza,39.0,2294.87,2.0
22124,apartment,Balvanera,39.0,2179.49,2.0
22125,apartment,Villa del Parque,66.0,2957.58,3.0
22126,apartment,Mataderos,45.0,1666.67,2.0
22127,apartment,Belgrano,117.0,2547.01,4.0
22128,apartment,Villa del Parque,65.0,3089.23,3.0
22129,PH,Liniers,38.0,1605.26,1.0
22131,apartment,Villa Urquiza,49.0,2000.0,2.0
22132,apartment,Villa del Parque,85.0,2671.76,4.0
22134,house,Mataderos,461.0,563.99,6.0
22135,apartment,Nuñez,82.0,2378.05,3.0
22136,house,Liniers,120.0,1491.67,3.0
22137,apartment,Villa del Parque,96.0,2546.88,4.0
22138,apartment,Villa del Parque,93.0,2547.31,4.0
22139,house,Villa Lugano,150.0,1233.33,4.0
22140,apartment,Belgrano,170.0,2235.29,5.0
22142,house,Villa Lugano,120.0,2000.0,3.0
22143,apartment,Villa del Parque,85.0,2611.76,4.0
22144,apartment,Liniers,50.0,1960.0,2.0
22145,apartment,Palermo,42.0,4047.62,2.0
22146,PH,Mataderos,211.0,639.81,1.0
22147,apartment,Villa del Parque,85.0,2748.24,4.0
22149,apartment,Mataderos,65.0,1992.31,3.0
22150,apartment,Villa del Parque,85.0,2748.24,4.0
22151,apartment,Flores,80.0,1750.0,3.0
22152,apartment,Nuñez,102.0,2058.82,4.0
22154,apartment,Villa del Parque,85.0,2811.76,4.0
22155,apartment,Villa del Parque,85.0,2811.76,4.0
22157,apartment,Monserrat,62.0,1332.1,2.0
22158,PH,Mataderos,120.0,1000.0,4.0
22159,apartment,Villa del Parque,85.0,2883.53,4.0
22160,apartment,Monserrat,59.0,1417.46,2.0
22161,house,Villa Lugano,81.0,1234.57,3.0
22162,apartment,Villa del Parque,85.0,2883.53,4.0
22163,apartment,Villa del Parque,85.0,2952.94,4.0
22166,apartment,Monserrat,59.0,1417.46,2.0
22167,apartment,Villa del Parque,85.0,2952.94,4.0
22169,apartment,Monserrat,66.0,1303.79,2.0
22172,apartment,Villa del Parque,74.0,1818.92,3.0
22173,apartment,Monserrat,63.0,1580.79,2.0
22175,apartment,Villa del Parque,52.0,2588.46,2.0
22177,apartment,Monserrat,31.0,2123.23,1.0
22179,apartment,Liniers,100.0,3000.0,3.0
22180,apartment,Villa del Parque,52.0,2653.85,2.0
22181,PH,Villa Luro,47.0,1595.74,1.0
22182,apartment,Monserrat,31.0,2128.06,1.0
22183,apartment,Constitución,25.0,1360.0,1.0
22184,apartment,Villa del Parque,52.0,2653.85,2.0
22185,apartment,Monserrat,48.0,1694.17,2.0
22187,apartment,Villa del Parque,52.0,2719.23,2.0
22188,apartment,Monserrat,51.0,1894.31,2.0
22189,house,Villa Lugano,108.0,1509.26,4.0
22190,apartment,Villa del Parque,52.0,2790.38,2.0
22191,apartment,Monserrat,29.0,2234.83,1.0
22192,apartment,Floresta,60.0,2083.33,3.0
22193,apartment,Villa del Parque,52.0,2790.38,2.0
22194,house,Villa Lugano,202.0,2079.21,3.0
22195,apartment,Monserrat,30.0,2165.67,1.0
22196,apartment,Villa del Parque,52.0,2861.54,2.0
22197,apartment,Monserrat,51.0,1921.96,2.0
22198,apartment,Monserrat,29.0,2267.59,1.0
22199,apartment,Villa del Parque,52.0,2861.54,2.0
22201,apartment,Recoleta,45.0,2066.67,1.0
22203,apartment,Villa del Parque,52.0,2861.54,2.0
22204,apartment,Monserrat,44.0,1922.27,2.0
22205,apartment,Villa del Parque,52.0,2934.62,2.0
22206,apartment,Monserrat,29.0,2280.0,1.0
22207,apartment,Palermo,149.0,2000.0,4.0
22208,apartment,Villa del Parque,64.0,2648.44,3.0
22209,apartment,Monserrat,53.0,1929.81,2.0
22210,apartment,Monserrat,33.0,2222.73,1.0
22211,apartment,Chacarita,36.0,2777.78,2.0
22213,apartment,Villa del Parque,71.0,2546.48,3.0
22214,apartment,Monserrat,43.0,1969.53,2.0
22215,apartment,Villa Lugano,120.0,1150.0,4.0
22216,apartment,Monserrat,51.0,1977.06,2.0
22217,apartment,Villa del Parque,73.0,2616.44,3.0
22218,apartment,Villa Lugano,80.0,987.5,3.0
22219,apartment,Monserrat,30.0,2260.33,1.0
22220,apartment,Villa del Parque,64.0,2585.94,3.0
22221,apartment,Belgrano,180.0,2722.22,5.0
22222,apartment,Monserrat,43.0,1997.44,2.0
22223,apartment,Monserrat,36.0,2180.83,1.0
22224,apartment,Villa del Parque,64.0,2585.94,3.0
22225,apartment,Monserrat,53.0,1926.04,2.0
22226,apartment,Villa Lugano,140.0,1064.29,4.0
22227,apartment,Villa del Parque,64.0,2648.44,3.0
22228,apartment,Monserrat,33.0,2271.52,1.0
22229,apartment,Saavedra,89.0,1629.21,3.0
22230,apartment,Villa del Parque,64.0,2718.75,3.0
22231,apartment,Monserrat,33.0,2285.76,1.0
22232,apartment,Villa del Parque,64.0,2718.75,3.0
22233,apartment,Monserrat,40.0,2083.5,2.0
22234,apartment,Villa del Parque,64.0,2718.75,3.0
22235,apartment,Monserrat,33.0,2317.27,1.0
22236,apartment,Villa del Parque,64.0,2718.75,3.0
22237,apartment,Constitución,48.0,2041.67,2.0
22238,apartment,Villa del Parque,64.0,2820.31,3.0
22239,apartment,Villa del Parque,64.0,2820.31,3.0
22240,PH,Liniers,61.0,1557.38,2.0
22241,apartment,Caballito,40.0,2200.0,2.0
22242,apartment,Villa del Parque,64.0,2890.62,3.0
22243,apartment,Caballito,44.0,2454.55,2.0
22244,apartment,Villa del Parque,64.0,2882.81,3.0
22245,apartment,Villa del Parque,64.0,2890.62,3.0
22246,apartment,Belgrano,37.0,2837.84,1.0
22247,apartment,Villa del Parque,64.0,2882.81,3.0
22248,apartment,Recoleta,45.0,2555.56,2.0
22249,apartment,Villa del Parque,64.0,2962.5,3.0
22250,apartment,Villa del Parque,64.0,2962.5,3.0
22251,apartment,Villa del Parque,35.0,2285.71,2.0
22252,apartment,Villa del Parque,64.0,2962.5,3.0
22253,apartment,Caballito,39.0,2666.67,1.0
22254,apartment,Villa del Parque,64.0,2956.25,3.0
22255,apartment,Villa del Parque,64.0,3039.06,3.0
22256,apartment,Caballito,76.0,2763.16,2.0
22257,apartment,Villa del Parque,64.0,3034.38,3.0
22258,apartment,Villa del Parque,64.0,3039.06,3.0
22259,apartment,Caballito,75.0,2893.33,3.0
22260,apartment,Villa del Parque,64.0,3034.38,3.0
22261,apartment,Villa del Parque,65.0,2586.51,3.0
22262,apartment,Flores,51.0,1745.1,2.0
22263,apartment,Caballito,79.0,2278.48,2.0
22264,apartment,Villa del Parque,80.0,2610.0,3.0
22265,apartment,Villa del Parque,78.0,2507.69,3.0
22266,apartment,Villa del Parque,65.0,2644.62,3.0
22267,apartment,Villa del Parque,65.0,2789.23,3.0
22269,apartment,Villa del Parque,65.0,2715.38,3.0
22270,apartment,Villa del Parque,65.0,2855.38,3.0
22271,apartment,Villa del Parque,65.0,2775.38,3.0
22272,apartment,Floresta,43.0,3023.26,2.0
22273,apartment,Palermo,33.0,4848.48,1.0
22274,apartment,Villa del Parque,65.0,2926.15,3.0
22275,apartment,Almagro,43.0,1976.74,2.0
22276,apartment,Caballito,36.0,2080.56,1.0
22277,apartment,Villa del Parque,65.0,2852.31,3.0
22278,apartment,Villa del Parque,47.0,2802.13,3.0
22279,apartment,San Cristobal,103.0,1456.31,4.0
22280,apartment,Villa del Parque,44.0,2729.55,3.0
22281,apartment,Boedo,61.0,2131.15,2.0
22282,apartment,Villa del Parque,44.0,2845.45,3.0
22283,apartment,Belgrano,40.0,3975.0,1.0
22284,apartment,Palermo,42.0,3571.43,2.0
22285,apartment,Recoleta,35.0,3134.29,1.0
22286,apartment,Villa del Parque,44.0,2913.64,3.0
22288,apartment,Villa del Parque,44.0,2800.0,3.0
22290,apartment,Palermo,40.0,2750.0,1.0
22291,apartment,Villa del Parque,51.0,2474.51,3.0
22292,apartment,Recoleta,37.0,3591.89,1.0
22293,apartment,Villa del Parque,54.0,2429.63,3.0
22294,apartment,Villa del Parque,57.0,2536.84,3.0
22296,apartment,Palermo,47.0,2723.4,1.0
22297,apartment,Villa del Parque,51.0,2474.51,3.0
22298,apartment,Barrio Norte,75.0,2000.0,3.0
22299,apartment,Villa del Parque,49.0,2538.78,3.0
22300,apartment,Recoleta,57.0,3015.79,1.0
22302,apartment,Villa Crespo,35.0,3142.86,1.0
22303,house,Flores,191.0,1308.9,4.0
22305,apartment,Belgrano,150.0,3666.67,4.0
22306,apartment,Belgrano,135.0,3703.7,4.0
22307,apartment,Belgrano,35.0,2800.0,1.0
22308,apartment,Mataderos,35.0,2457.14,1.0
22309,apartment,Villa Crespo,38.0,2078.95,1.0
22310,apartment,Mataderos,50.0,2300.0,2.0
22311,apartment,Belgrano,36.0,3061.11,1.0
22312,apartment,Belgrano,37.0,2959.46,1.0
22313,apartment,Villa Crespo,45.0,2100.0,2.0
22314,apartment,Belgrano,36.0,3111.11,1.0
22315,apartment,Palermo,58.0,3862.07,2.0
22316,apartment,Caballito,39.0,2717.95,1.0
22317,apartment,Villa Luro,33.0,1818.18,1.0
